ticker,name,mcap,turnover
056080,유진로봇,493237769400.0,13636605745.166666
170920,엘티씨,490175446400.0,17282703951.666668
358570,지아이이노베이션,487095845300.0,9006765675.166666
376300,디어유,485450402700.0,2290532085.1666665
211050,인카금융서비스,485247021450.0,1469743642.3333333
475960,토모큐브,479790372900.0,3866446473.3333335
015750,성우하이텍,475200000000.0,4689104015.166667
327260,RF머트리얼즈,472244587500.0,19092139279.283333
035890,서희건설,465362125425.0,6933367242.916667
214430,아이쓰리시스템,464738874000.0,4340863725.0
078130,국일제지,464491218440.0,1348198195.5
219130,타이거일렉,464100315000.0,5819922881.666667
336570,원텍,462473746280.0,10176951937.666666
460930,현대힘스,462348936420.0,4424404032.833333
064290,인텍플러스,461661171300.0,21754128070.0
290550,디케이티,461028351500.0,10123564527.166666
099190,아이센스,457528786190.0,1592723313.6666667
009520,포스코엠텍,453905462700.0,4308516522.166667
082270,젬백스,452873946690.0,4067818371.6666665
036810,에프에스티,452480590100.0,5293840151.666667
340570,티앤엘,451916800000.0,3295882476.6666665
089890,코세스,450281718300.0,8640422344.166666
425420,티에프이,444498516000.0,7121838388.333333
144960,뉴파워프라즈마,437800092480.0,12637588633.5
348370,엔켐,437562530210.0,7287268935.333333
033640,네패스,435588325780.0,13212567356.666666
104830,원익머트리얼즈,430563200000.0,3730620705.0
368770,파이버프로,430390347500.0,8135550303.833333
253590,네오셈,425969582440.0,13651158677.666666
278280,천보,423954665000.0,3454783578.3333335
272290,이녹스첨단소재,422675190800.0,7321472812.0
027360,아주IB투자,421586012880.0,117551042673.08333
042000,카페24,421183703980.0,2431646303.3333335
477850,마키나락스,416348559200.0,78166293760.45454
174900,앱클론,414006676750.0,8808097540.666666
077360,덕산하이메탈,411659238120.0,18944832368.5
215200,메가스터디교육,408389510400.0,1783962592.5
030520,한글과컴퓨터,407912281280.0,2788576601.3333335
365340,성일하이텍,407661178250.0,4005998591.6666665
018290,브이티,407421831080.0,3047117587.6666665
389470,인벤티지랩,404554323200.0,4338479115.0
486990,노타,401309124000.0,12243134853.0
160980,싸이맥스,397642445200.0,8796661662.5
033160,엠케이전자,395579519100.0,26162081238.333332
095660,네오위즈,387941709870.0,1386112280.0
041190,우리기술투자,387240000000.0,4984898001.083333
036620,감성코퍼레이션,385961344480.0,3216593420.5
330860,네패스아크,382579013000.0,20106206488.333332
013030,하이록코리아,378345829600.0,2319898239.1666665
069080,웹젠,377792215000.0,1465868778.6666667
348210,넥스틴,374029078500.0,6540073878.333333
200710,에이디테크놀로지,373570694250.0,10614404686.666666
199800,툴젠,373401603500.0,4179605310.0
089010,켐트로닉스,368940594000.0,12750716706.666666
039440,에스티아이,367517013900.0,6785582000.0
025980,아난티,366824732300.0,5765305052.583333
372320,큐로셀,364660736100.0,5634523722.5
078020,LS증권,363956606400.0,1892093179.0
348340,뉴로메카,363588124300.0,22403078524.916668
287840,인투셀,351513864000.0,2089739622.3333333
064260,다날,350616693195.0,11768370853.416666
060280,큐렉소,347820029700.0,6866439858.333333
006910,보성파워텍,342434873280.0,46804033645.166664
025320,시노펙스,340079451570.0,3894127783.0833335
236200,슈프리마,338602799050.0,1547545774.1666667
332570,PS일렉트로닉스,336323253600.0,43306387519.083336
078160,메디포스트,334807309620.0,4479665560.833333
110990,디아이티,333774000000.0,4277287272.1666665
114810,한솔아이원스,332089453200.0,4924111201.5
419530,SAMG엔터,329696985100.0,4340364165.0
084110,휴온스글로벌,327256140200.0,3390001523.3333335
356860,티엘비,326443316000.0,21297130862.116665
241770,메카로,324125952000.0,1525332160.0
078350,한양디지텍,321656460200.0,8039175129.0
168360,펨트론,321557118520.0,4392253760.333333
204620,글로벌텍스프리,321194818100.0,7109452369.833333
448900,한국피아이엠,318908992500.0,15599205714.166666
101730,위메이드맥스,317614453940.0,1906079594.0
356680,엑스게이트,315405586600.0,44607989485.5
036890,진성티이씨,310659984300.0,3343842628.0
078340,컴투스,309537612800.0,1587918115.0
098070,한텍,308611662750.0,2979862065.0
049070,인탑스,308546735180.0,3587545313.6666665
092730,네오팜,307897668690.0,1063645310.8333334
228760,지노믹트리,305519592580.0,1460778910.6666667
243070,휴온스,304882474250.0,2123166729.1666667
025900,동화기업,301826991450.0,1147071369.3333333
